station,city,state,calculated_AQI,aqi_label,aqi_category,dominant_pollutant_by_AQI,dominant_AQI_subindex,SI_PM2.5,SI_PM10,SI_SO2,SI_NO2,SI_CO,SI_NH3,SI_OZONE
"New Mandi, Muzaffarnagar - UPPCB",Muzaffarnagar,Uttar Pradesh,310.14,Very Poor,FULL,PM2.5,310.14,310.14,125.42,21.25,31.25,2.7,0.5,15.0
"Sector - 62, Noida - IITM",Noida,Uttar Pradesh,337.55,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,337.55,337.55,122.78,,10.0,1.75,,18.0
"Sector - 125, Noida - UPPCB",Noida,Uttar Pradesh,329.94,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,329.94,329.94,189.44,11.25,,1.1,,12.0
"Sector-1, Noida - UPPCB",Noida,Uttar Pradesh,293.4,Poor,FULL,PM2.5,293.4,293.4,135.32,11.25,50.0,2.9,3.5,47.0
"Nagar Nigam, Prayagraj - UPPCB",Prayagraj,Uttar Pradesh,76.72,Satisfactory,FULL,SO2,76.72,35.0,76.48,76.72,6.25,0.9,2.0,16.0
"Motilal Nehru NIT, Prayagraj - UPPCB",Prayagraj,Uttar Pradesh,40.0,Good,FULL,PM2.5,40.0,40.0,35.0,30.0,15.0,0.4,2.0,18.0
"Knowledge Park - III, Greater Noida - UPPCB",Greater Noida,Uttar Pradesh,130.04,Moderate,PARTIAL_HIGH_CONFIDENCE,PM10,130.04,,130.04,11.25,65.7,2.45,2.75,3.0
"Anand Vihar, Hapur - UPPCB",Hapur,Uttar Pradesh,330.7,Very Poor,PARTIAL_HIGH_CONFIDENCE,PM2.5,330.7,330.7,118.82,17.5,,2.15,0.25,16.0
"Shivaji Nagar, Jhansi - UPPCB",Jhansi,Uttar Pradesh,227.4,Poor,FULL,PM2.5,227.4,227.4,99.02,31.25,7.5,0.7,1.0,6.0
"FTI Kidwai Nagar, Kanpur - UPPCB",Kanpur,Uttar Pradesh,77.13,Satisfactory,FULL,PM2.5,77.13,77.13,62.76,30.0,33.75,1.6,0.75,13.0
"NSI Kalyanpur, Kanpur - UPPCB",Kanpur,Uttar Pradesh,82.03,Satisfactory,FULL,PM2.5,82.03,82.03,71.58,32.5,40.0,1.75,0.5,21.0
"Prashant Garden, Khora - UPPCB",Khora,Uttar Pradesh,398.48,Very Poor,FULL,PM2.5,398.48,398.48,123.44,3.75,45.0,2.05,2.25,75.5
"Kalindi Kunj, Khurja - UPPCB",Khurja,Uttar Pradesh,210.9,Poor,FULL,PM2.5,210.9,210.9,108.92,12.5,15.0,2.3,0.25,13.0
"B R Ambedkar University, Lucknow - UPPCB",Lucknow,Uttar Pradesh,43.0,Good,FULL,PM10,43.0,40.0,43.0,41.25,17.5,1.9,0.75,24.0
"Lalbagh, Lucknow - CPCB",Lucknow,Uttar Pradesh,220.8,Poor,FULL,PM2.5,220.8,220.8,84.32,3.75,32.5,1.4,4.25,28.0
"Gomti Nagar, Lucknow - UPPCB",Lucknow,Uttar Pradesh,93.47,Satisfactory,PARTIAL_HIGH_CONFIDENCE,PM2.5,93.47,93.47,50.0,13.75,12.5,1.95,,42.0
"Yamunapuram, Bulandshahr - UPPCB",Bulandshahr,Uttar Pradesh,176.9,Moderate,FULL,PM2.5,176.9,176.9,118.16,17.5,36.25,2.55,1.75,49.0
"Dadupura, Fatehpur Sikri - UPPCB",Fatehpur Sikri,Uttar Pradesh,396.95,Very Poor,FULL,PM2.5,396.95,396.95,135.98,13.75,10.0,2.05,0.5,34.0
"Nagla Bhau, Firozabad - UPPCB",Firozabad,Uttar Pradesh,40.0,Good,PARTIAL_HIGH_CONFIDENCE,SO2,40.0,,,40.0,21.25,1.7,0.5,14.0
"Vibhab Nagar, Firozabad - UPPCB",Firozabad,Uttar Pradesh,52.63,Satisfactory,FULL,PM2.5,52.63,52.63,44.0,11.25,18.75,1.9,1.75,1.0
"Indirapuram, Ghaziabad - UPPCB",Ghaziabad,Uttar Pradesh,346.69,Very Poor,FULL,PM2.5,346.69,346.69,123.44,8.75,27.5,0.35,2.5,27.0
